tagname,body
"uiautomator","The uiautomator testing framework lets you test your user interface (UI) efficiently by creating automated functional UI testcases that can be run against your app on one or more devices"
"undefined-symbol",""
"tv","What is this tag? Who would create such a thing? DO NOT USE THIS!"
"binaryformatter","`BinaryFormatter` is a serializer built into the .net framework. It serializes fields regardless of their visibility into an unspecified binary format. It supports polymorphism and cyclic object graphs."
"scilab","Scilab is a free and open source, cross-platform numerical computational package and a high-level, numerically oriented programming language. It can be used for signal processing, statistical analysis, image enhancement, fluid dynamics simulations, numerical optimization, and modeling and simulation of explicit and implicit dynamical systems."
"deletion",""
"row-number","an index or rank which indicates a row's position in a data-set."
"temperature","A simple definition of temperature is that it is a measure of heat dissipation, This tag can include programming related questions like temperature conversion, temperature detection through device sensors etc. "
"finally",""
"cometd","CometD is a scalable HTTP-based event routing bus that uses a Ajax Push technology pattern known as Comet. The term 'Comet' was coined by Alex Russell in his post Comet: Low Latency Data for the Browser. See http://cometd.org/
"
"heapsort","Heapsort is an efficient sorting algorithm based on binary heaps. It runs in time Θ(n log n) and uses only O(1) external memory."
"visual-studio-sdk","The Visual Studio SDK includes documentation, samples, and code to help you develop products that integrate with the Visual Studio product family."
"sorl-thumbnail","Thumbnails for Django"
"lync-2010","Microsoft Lync 2010 was released in 2011 (by Microsoft) to replace Microsoft Office Communicator 2007 R2 - an instant messenging and communications tool for large companies."
"dgrid","dgrid is a component for creating lists and grids based on the Dojo Toolkit. dgrid is a completely portable AMD package designed to be lightweight, CSS-centric, easily extensible and mobile-ready. It's released under the same open-source license and CLA as the Dojo Toolkit (BSD/AFLv2)."
"poltergeist","Poltergeist is a Capybara driver for PhantomJS."
"magento-1.8","Magento is an e-commerce platform written in PHP atop the Zend framework, available under both open-source and commercial licenses."
"twain","TWAIN is a standard software protocol and applications programming interface (API) that regulates communication between software applications and imaging devices such as scanners and digital cameras."
"servicelocator","The service locator pattern is a design pattern used in software development to encapsulate the processes involved in obtaining a service with a strong abstraction layer. This pattern uses a central registry known as the ""service locator"" which on request returns the information necessary to perform a certain task."
"functional-dependencies","A functional dependency is a constraint between two sets of attributes in a relation, in relational algebra, databases and type systems.
"
"jquery-click-event",""
"open-graph-protocol",""
"sonar-runner","Default utility tool to launch a Sonar analysis without any dependency on third party tool like Maven, Ant, ..."
"auditing",""
"renaming",""
"ioerror","Anything related to Input/Output errors, i.e. errors happening while a program is performing an I/O operation, such as opening a file, reading from a stream, writing to a socket, etc."
"git-filter-branch","`git-filter-branch` — Rewrite branches"
"days","a day is a unit of time which is qual to an interval of 24 hours"
"app-id",""
"multiview",""
"working-directory",""
"rich-snippets","Rich Snippets are extra, detailed pieces of information which appear under Google search results."
"android-gesture","A package in the Android SDK that provides classes to create, recognize, load and save gestures. Gestures are patterns on the touch screen that map to specific functions."
"win32ole",""
"displayobject",""
"content-management",""
"feature-selection","In machine learning, this is the process of selecting a subset of most relevant features to construction your data model. "
"drupal-themes","This tag is for questions about themes hosted on Drupal.org. Don't use it to generally mean ""this question is about a theme,"" when the question is about a theme's code, or when the question is already using a specific tag, such as ""theming,"" ""theme-template,"" or a tag specific for the used theme, such as ""zen."""
"cpu-cache","A CPU-cache is a hardware structure used by the CPU to reduce the average access memory time."
"em","em is a unit of measurement in the context of typography. It can also stand for expectation-maximization in the context of statistics."
"vibrate",""
"trap",""
"openurl","A cocoa method on iOS letting developers access other apps from inside an app."
"uid",""
"viewbox","The ViewBox is a very useful control in WPF. If does nothing more than scale to fit the content to the available size. It does not resize the content, but it transforms it."
"logparser","A log parser extracts (usually text) data from a log file into a more specific data structure, making the log information easier to process. A log parser can be implemented as a standalone application, or as a library for a specific programming language.

LogParser is also the name of a free Microsoft tool which provides a SQL-like interface to log files of almost any format, from generic CSV, TSV, and XML files to more specific formats."
"php-gd","The PHP GD class contains built in image manipulation for PHP versions 4.3 and up."
"android-adapterview","An AdapterView in android is a view whose children are determined by an Adapter. "
"delaunay","A *Delaunay* triangulation is a triangulation such that no vertex of the triangulation is inside the interior of the circumcircle of any triangle of the triangulation.
"
"post-redirect-get","Post/Redirect/Get (PRG) is a web development design pattern that prevents some duplicate form submissions, creating a more intuitive interface for user agents (users). PRG implements bookmarks and the refresh button in a predictable way that does not create duplicate form submissions."
"cyanogenmod","CyanogenMod is an aftermarket firmware for over forty cell phones and tablets based on the open-source Android operating system. It offers features not found in the official Android-based firmwares of vendors of these devices, "
"dynamic-loading",""
"url-pattern",""
"radcombobox","An ASP.Net UI component provided by the vendor Telerik. It provides extensions to dropdown list type functionality."
"navigator","The Navigator object contains information about the visitor's browser name, version, and more."
"executor",""
"outlook-redemption","Outlook Redemption is a library which works around the security limitations introduced in Outlook 2002. It also provides some additional features which are not accessible using the Outlook object model."
"sql-scripts",""
"folderbrowserdialog",""
"ivr","An IVR (Interactive Voice Response) is a system that provides callers to a telephony network, typically an organization or call center, with an automated interface.  IVRs can be used to handle requests automatically; or to gather preliminary information from the caller such as identification and reason for calling, before routing the call on to an appropriate agent."
"iequalitycomparer","IEqualityComparer is a .NET framework interface that allows the implementation of customized equality comparison for collections. That is, you can create your own definition of equality, and specify that this definition be used with a collection type that accepts the IEqualityComparer interface. Supported in .NET versions 3.5, 3.0, 2.0 (Source: MSDN)"
"mint","Linux Mint is an operating system based on Ubuntu."
"armadillo","Armadillo is a linear algebra library for C++ that makes use of template metaprogramming and delayed evaluation."
"multicolumn",""
"qlineedit","QLineEdit is a component of the Qt library which is basically a text editor that has only one line, and which allows one to make inputting and editing of text. A related class is QTextEdit which allows multi-line, rich text editing."
"google-static-maps","The Google Static Map web service dynamically creates a map image based on URL parameters (i.e. latitude, longitude, zoom level, image height & width) sent through a standard HTTP request and returns the map as an image you can display on your web page."
"geckofx","GeckoFX is a Windows Forms control written in clean, commented C# that embeds the Mozilla Gecko browser control in any Windows Forms Application. It also contains a simple class model providing access to the HTML and CSS DOM."
"blogengine.net","BlogEngine.NET is an Open Source blog based on ASP.NET. "
"linq-to-dataset",""
"portable-executable","The Portable Executable (PE) format, a modification of COFF, is the file format for executable binaries under the Windows operating system. The PE format is easily recognized by its ""MZ DOS header"" (0x4d 0x5a, ""MZ"" for ""Mark Zbikowski"")."
"ess","ESS (Emacs Speaks Statistics) is an emacs add-on for editing scripts and interacting with statistical programs such as R, Stata or SAS.
"
"change-tracking",""
"hint",""
"spry","Spry is a JavaScript framework created by Adobe. It is included with Dreamweaver and makes extensive use of custom XHTML attributes and inline events to facilitate use by web designers."
"c11","C11 is the informal name of the new standard for the C programming language, ISO/IEC 9899:2011."
"hibernate-4.x","Represents the 4.x release of the Hibernate Object/Relational Mapping project"
"getdate",""
"taskmanager",""
"packing",""
"precedence",""
"rad-controls","RadControls is a suite of UI controls (buttons, grids, menus, charts, windows, input controls, etc.) created by Telerik.  There are version of the suite for Silverlight, ASP.Net, WPF, WinForms and Windows Phone."
"ebnf","EBNF stands for Extended Backus-Naur Form, or Extended Backus Normal Form. It is an extension to BNF and is used to describe the syntax of context-free grammars, such as programming languages, document formats, or communication protocols. It improves over BNF by providing operators to express optional, zero or more, and one or more occurrences of a term. This makes EBNF much more expressive and concise compared to BNF."
"mathematica-8","For questions specific to version 8.x.x of Wolfram Mathematica, or not applicable to versions 7 or earlier. New dedicated Mathematica SE site: http://mathematica.stackexchange.com/"
"thread-synchronization","In a multi-threaded environment thread synchronization is used to coordinate access to shared resources such as file handles, network connections, and memory"
"payload","The part of the packet, message or code that carries the data. In information security, the term payload generally refers to the part of malicious code that performs the destructive operation. "
"webfarm","Multiple instances of web based project"
"boost-variant","Boost.Variant is a C++ library containing a safe, generic, stack-based discriminated union container, offering a simple solution for manipulating an object from a heterogeneous set of types in a uniform manner."
"jlayeredpane","JLayeredPane is a Java Swing component that adds depth to a JFC/Swing container, allowing components to overlap each other when needed."
"nsundomanager","`NSUndoManager` is a general-purpose recorder of operations for undo and redo. "
"mantis","MantisBT is a free popular web-based bugtracking system. It is written in the PHP scripting language and works with MySQL, MS SQL, and PostgreSQL databases and a webserver. MantisBT has been installed on Windows, Linux, Mac OS, OS/2, and others. Almost any web browser should be able to function as a client. It is released under the terms of the GNU General Public License (GPL)."
"webmail","WebMail is short form of Web Based Email Service. In common All E-Mail Services on Present scenario are WebMail and support other Desktop and Mobile Client Also."
"named",""
"libgit2","libgit2 is a portable, pure C implementation of the Git core methods provided as a re-entrant linkable library with a solid API, allowing you to write native speed custom Git applications in any language which supports C bindings."
"conways-game-of-life","The Game of Life, also known simply as Life, is a cellular automaton devised by the British mathematician John Horton Conway in 1970."
"ekevent","A class in the iOS Event Kit Framework that allows an instance of it to represent an event from a calendar."
"oledbcommand","Represents an SQL statement or stored procedure to execute against a data source using OLE DB provider."
"mvcsitemap","MvcSiteMapProvider is a tool that provides flexible menus, breadcrumb trails, and SEO features for the ASP.NET MVC framework, similar to the ASP.NET SiteMapProvider model. The project is hosted on http://github.com/maartenba/MvcSiteMapProvider."
"android-optionsmenu","Used to display the options of a application on android devices, this can be at the bottom of the application when the menu-button is pressed or in the overflow-menu of the actionbar."
"yarn","Yarn is next generation MapReduce, To improve modularity in hadoop ecosystem."
"sys","For questions about the Python module named sys. This tag is also used for questions relating to the Sys namespace - the root namespace for the Microsoft AJAX Library, which contains all fundamental classes and base classes."
"specification","An specification, also comonly refered as spec is a description of a defined tecnology and the resources it offers."
"autocompleteextender","The AutoCompleteExtender is part of the AJAX Control Toolkit for ASP.net"
"contact-form-7",""
"mupdf","MuPDF is a lightweight, fast PDF and XPS viewer capable to run on multiple platforms, including Android and iOS. It also includes its own `fitz` rendering library."
"jboss-4.2.x","Version 4.2.x of the JBoss Application Server."
"week-number",""
"django-fields","In Django, every model must define a list of fields where its attributes will be stored. Every field should be an instance of an appropriate Field class provided by Django's ORM."
"project-template",""
"image-compression","The objective of image compression is to reduce irrelevance and redundancy of the image data in order to be able to store or transmit data in an efficient form. Image compression may be lossy or lossless."
"html4","HTML Version 4.0 was published in Dec '97 by the W3C. 
 It offers three variations: Strict, in which deprecated elements are forbidden,
 Transitional, in which deprecated elements are allowed,
 Frameset, in which mostly only frame related elements are allowed
"
"linqdatasource","LinqDataSource is a Web Control which enables the use of Language-Integrated Query (LINQ) in an ASP.NET Web page through markup text to retrieve and modify data from a data object."
"type-providers","An F# type provider is a component that provides types, properties, and methods for use in your program. Type providers are a significant part of F# 3.0 support for information-rich programming. The key to information-rich programming is to eliminate barriers to working with diverse information sources found on the Internet and in modern enterprise environments.
"
"bytecode-manipulation","Low level Virtual Machine bytecode manipulations. Including creating/modifying/optimizing/etc bytecode for various VMs. For example JVM, Python VM, Lua VM, etc."
"livechat",""
"allegro5","Allegro 5 is the fifth version of the Allegro game programming library for C/C++ developers. It is not backwards compatible with Allegro 4. It is distributed freely, and it supports the following platforms: Unix (Linux, FreeBSD, etc.), Windows, OS X, and iOS."
"mit-license","The MIT License is a free software license originating at the Massachusetts Institute of Technology (MIT). It is a permissive license, meaning that it permits reuse within proprietary software on the condition that the license is distributed with that software. The license is also GPL-compatible, meaning that the GPL permits combination and redistribution with software that uses the MIT License."
"rating-system","A system commonly seen on websites that allows users to express their appreciation (or lack there of) of content or what the content is about."
"wms","A Web Map Service (WMS) is a standard protocol for serving georeferenced map images over the Internet that are generated by a map server using data from a GIS database."
"wlan","A wireless local area network (WLAN) links two or more devices using some wireless distribution method."
"remoteobject",""
"templatefield",""
"css-frameworks","CSS frameworks are pre-prepared libraries that are meant to allow for easier, more standards-compliant styling of web pages using the Cascading Style Sheets language. Layout-grid related CSS frameworks include Blueprint, 960 grid, and YUI CSS grids."
"exponent",""
"decimal-point","The character or glyph used to separate the integer part from the fraction part in a decimal number.  Usually either a dot or a comma."
"netsh","netsh is the command name for the NetShell utility, which is used as a scripting interface for monitoring and configuring Microsoft Windows."
"llblgenpro","LLBLGen is an Object Relational Mapper (O/RM) for .NET.  With it you can generate your data access layer for multiple O/RM frameworks (LLBLGen Pro Runtime Framework, Entity Framework, Linq to Sql, and NHibernate 2.x / 3.0 (hbm.xml and FluentNHibernate))."
"icollection","The ICollection interface is the base interface for classes in the System.Collections namespace. It defines size, enumerators, and synchronization methods for all non-generic collections"
"autofocus",""
"git-subtree","An alternative to the git-submodule command. Merges and splits subtrees from your project into subprojects and back.  git-subtree has been merged into mainline git as of 1.7.11."
"jar-signing",""
"beanshell","Lightweight scripting for Java"
"tampermonkey","Tampermonkey is a userscript manager for Google Chrome. Tampermonkey scripts are privileged javascript, with access to a custom API, that allow you to customize the way web pages look and act. "
"dynamics-crm-2013","Microsoft Dynamics CRM is a multi-lingual Customer Relationship Management software package. The product focuses mainly on Sales, Marketing, Service and Help Desk sectors but Microsoft has been marketing Dynamics CRM as an XRM platform encouraging partners to use its proprietary (.NET based) framework to customize it to meet many different demands. The software has been moved to the cloud solution and exists in two versions - on-premise and on-line."
"worklight-studio","Worklight Studio is an Eclipse-based IDE, part of the IBM Worklight Mobile Platform."
"class-loading",""
"ip-geolocation",""
"menustrip",""
"django-imagefield","ImageField is a class of field types used by Django to manage an attribute of a model that stores an image"
"django-modelformsets","In Django, a formset is a layer of abstraction to work with multiple forms on the same page. `modelformsets` are formsets enhanced to work with Django models."
"sesame","Sesame is an open-source Java framework for storing, querying and inferencing for RDF. It can be deployed as a web server or used as a Java library. Features include several query languages (SeRQL and SPARQL), inferencing support, and RAM, disk, or RDBMS storage."
"dygraphs","The dygraphs JavaScript library is for producing interactive time series charts.
"
"django-crispy-forms","django-crispy-forms is a pluggable django app that helps to write DRY forms by providing additional capability to configure and control the rendered HTML"
"filesystemobject",""
"let","LET introduces a list of local variables"
"rds","This tag might refer to Microsoft Remote Desktop Services, Microsoft Robotics Developer Studio, or Microsoft Remote Data Service. For Amazon RDS, please use the [tag:amazon-rds] tag instead."
"jaxp","The Java API for XML Processing (JAXP) enables applications to parse, transform, validate and query XML documents using an API that is independent of a particular XML processor implementation."
"pyplot","a set of convenience functions for plotting in matplotlib, designed to be similar to MATLAB's plotting functions.
"
"largenumber","Very large numbers often occur in fields such as mathematics, cosmology, cryptography and statistical mechanics. That numbers are significantly larger than those ordinarily used in everyday life, for instance in simple counting or in monetary transactions. The term typically refers to large positive integers, or more generally, large positive real numbers, but it may also be used in other contexts."
"jquery-tablesorter","tablesorter is a jQuery plugin for turning a standard HTML table with THEAD and TBODY tags into a sortable table without page refreshes. tablesorter can successfully parse and sort many types of data including linked data in a cell. It is available at http://tablesorter.com"
"traceback",""
"object-reference",""
"forgot-password","This tag refers to a situation in which you cannot access a protected system, file, database, etc. you would normally have access to because you cannot remember the password used to protect it."
"apache-tiles","Apache Tiles is a framework that allows authors to define HTML page fragments which can be assembled into a complete page at runtime."
"ruby-debug","The purpose of a debugger ruby-debug is to allow you to see what is going on “inside” a Ruby program while it executes.


"
"app-inventor","App Inventor is a graphical programming environment for making Android apps, developed by Google and moving to MIT as an open source project."
"cocos3d","3D rendering extension for cocos2d-iphone, written in Objective-C."
"turboc++","Turbo C++ is a C++ compiler and integrated development environment and computer language originally from Borland."
"mailmessage","The MailMessage class can be considered the foundation class of the System.Net.Mail namespace."
"spf","Sender Policy Framework (SPF) is a system designed to prevent email spoofing/forgery"
"iphone-sdk-3.2","Refers to the iPhone software development kit, version 3.2."
"biztalk-2009","Microsoft BizTalk Server 2009 is 6th version of Microsoft's ESB and B2B platform."
"cross-domain-policy","Cross-domain policy refers to the browser restrictions on script, stylesheet, and plugin execution across domains, protocols, and ports."
"supportmapfragment","A Map component in an app. This fragment is the single entry-point that exposes a map to an application. It's a wrapper around a view of a map to automatically handle the necessary life cycle needs. Being a fragment, this component can be added to an activity's layout file simply with the XML below. "
"regasm","Regasm is an Assembly Registration tool that reads the metadata within an assembly and adds the necessary entries to the registry, which allows COM clients to create .NET Framework classes transparently."
"microformats","Microformats are extensions to HTML for marking up people, events, blog posts, reviews, recipes etc.Designed for humans first and machines second, microformats are a set of simple, open data formats built upon existing and widely adopted standards."
"dyld","dyld, the Dynamic Link Editor, is the binary loader for Darwin (Mac OS X). Questions about dyld typically involve shared libraries being unavailable at link-time, or unavailable at runtime."
"bad-request","HTTP status code 400, implying the request was not understood by the server and should not be redone without modifications."
"pkg-config","pkg-config is computer software that provides a unified interface for querying installed libraries for the purpose of compiling software from its source code."
"sharpziplib","#ziplib (SharpZipLib) is a Zip, GZip, Tar and BZip2 library written entirely in C# for the .NET platform."
"offlineapps",""
"graph-visualization","Graph visualisation is concerned with the rendering of mathematical graphs (collections of nodes and edges) on a screen, either theoretically or using an existing software package.  Because most graphs are not ""planar"" (cannot be drawn without edges crossing), most graph visualisation algorithms must rely on heuristics that balance compactness against minimisation of edge crossings and that produce aesthetically appealing renderings."
"haskell-platform","The Haskell Platform is a standardized library suite for the Haskell programming language."
"mysql-num-rows","Retrieves the number of rows from a result set."
"xmltype","XMLType is a system-defined data type for handling XML data in Oracle databases."
"web-application-project","Produces a single assembly. Introduced in Visual Studio 2005."
"period",""
"exist-db","eXist-db is an open source database management system built using XML technology. It stores XML data according to the XML data model and features efficient, index-based XQuery processing."
"fragmentation",""
"word-2007","Microsoft Word 2007 is a commercial document editing program used for creating richly formatted documents for printing and distribution."
"duplication",""
"iar","IAR is an embedded system technology company that was founded in Sweden in 1983. They specialize in creating development tools for embedded systems. 
"
"zend-acl","Zend ACL is an Access Control List class in the Zend Framework, an open source, object-oriented web application framework implemented in PHP 5 and licensed under the New BSD License."
"subscriptions",""
"c89","This tag is for questions regarding the International Standard ISO 9899:1989, aka ""C89"" or ""ANSI C"", with amendmends and technical corrigenda, and for questions about code written in C89 (as opposed to K&R C, C99 or later C Standard revisions)."
"regedit","For issues relating to using the windows registry edit tool or performing registry edit operations."
"virtual-hosts","Virtual hosts or virtual hosting is a method for hosting multiple domain names (with separate handling of each name) on a single server (or pool of servers)."
"chromium-embedded","The Chromium Embedded Framework (CEF) is an open source project founded by Marshall Greenblatt in 2008 to develop a Web browser control based on the Google Chromium project. "
"mongo-java",""
"hardware-interface",""
"approximation","approximation algorithms are algorithms used to find approximate solutions to optimization problems."
"documentum","Documentum is an enterprise content management platform, now delivered by EMC Corporation, as well as the name of the software company that originally developed the technology."
"angular-resource","An angularjs factory which creates a resource object that lets you interact with RESTful server-side data sources.  "
"mediacodec","`MediaCodec` is a class from the package `android.media` of Android API that can be used to access low-level, native media codec, i.e. encoder/decoder components."
"hiding",""
"wmp","For issues relating to interfacing with the Windows Media Player (WMP)."
"piping","This tag is appropriate for questions related to taking output from one operation and using it as input to a subsequent operation."
"circular","A logical fallacy in which the developer begins with what he is trying to end up with, like class A extends B, class B extends A."
"python-unicode","Python distinguishes between byte strings and unicode strings. *Decoding* transforms bytestrings to unicode; *encoding* transform unicode strings to bytes."
"fortran95","Fortran 95 is a [minor revision](http://j3-fortran.org/doc/standing/archive/007/97-007r2/pdf/97-007r2.pdf), mostly to resolve some outstanding issues from the Fortran 90 standard. Its successor is Fortran 2003."
"concept","Concept programming is a programming paradigm focusing on how concepts, that live in the programmer's head, translate into representations that are found in the code space. This approach was introduced in 2001 by Christophe de Dinechin with the XL Programming Language."
"csr","In Public Key Infrastructure cryptography a CSR is a Certificate Signing Request"
"tunneling","Tunneling is a technique that enables remote access users to connect to a variety of network resources through a public data network."
"jsonschema","A JSON Schema is a JSON document (an object) which defines constraints on what other JSON documents (the instances) should obey; it can also be used to interpret instances so as to provide links to external resources (hyper schema). More details at http://json-schema.org/"
"sqlprofiler",""
"ups","UPS stands for United Parcel Service and is an international shipping-company. Questions tagged with UPS usually refer to the UPS shipping API."
"shelve","Shelve can refer to either a Python object persistence or a pending change in a Visual Studio Workspace"
"lookbehind",""
"squeryl","Squeryl is a strongly typed, declarative and SQL like DSL for manipulating database objects from within the Scala language."
"http-streaming","HTTP server push (also known as HTTP streaming) is a mechanism for sending data from a web server to a web browser."
"reactive-cocoa","ReactiveCocoa (RAC) is an Objective-C framework for Functional Reactive Programming. It provides APIs for composing and transforming streams of values."
"inappbrowser","InAppBrowser is a Cordova api call that provides the ability to spawn a browser instance from a Cordova application. The API is based on standard browser capability."
"moving-average","A calculation of the average value of the most recent (within some window) values in a time series, rather than the average of the entire series."
"mpmediaitem","Class form Apple MediaPlayer framework. A media item represents a single piece of media (such as one song or one video podcast) in the iPod library."
"standard-deviation","Standard deviation (represented by the symbol sigma, σ) shows how much variation or ""dispersion"" exists from the average (mean, or expected value)."
"twitterizer","This tag refers to the Twitterizer open source library by Ricky Smith."
"levels",""
"polymer","Polymer is a new type of library for the web, built on top of Web Components, and designed to leverage the evolving web platform on modern browsers."
"thor","A scripting framework that replaces rake, sake and rubigen."
"enyo","A open-source JavaScript framework for building single-page applications, based on code that powered HP webOS 3.0 for the HP TouchPad device, but now supporting a wide range of desktop and mobile browsers.  The core principles are object-orientation, encapsulation of view and functionality, and code reuse.  More details at http://enyojs.com."
"rails-geocoder","Geocoder is a complete geocoding solution for Ruby. With Rails it adds geocoding (by street or IP address), reverse geocoding (find street address based on given coordinates), and distance queries. It’s as simple as calling geocode on your objects, and then using a scope like Venue.near(""Billings, MT"")."
"unsigned-integer","A specific data type that uses all its bits to represent an integer value, consequently only 0 or positive."
"socketserver","Python module which simplifies the task of writing network servers."
"spyder","Spyder (previously known as Pydee) is a powerful interactive development environment for the Python language with advanced editing, interactive testing, debugging and introspection features.

<http://code.google.com/p/spyderlib/>
"
"mysql-error-1045","ERROR 1045 (28000): Access denied for user '%s'@'%s' (using password: %s)"
"any","""Any"" means ""at least one"".  Use this tag for questions that deal with testing elements in a collection to see if at least one of them passes a condition."
"listfield",""
"merge-conflict-resolution","When merging branches in a version control system, a merge conflict might arise. This tag is for questions about how such conflicts can be resolved."
"amazon-product-api","a webservice offered by Amazon to access product data"
"rangy","Rangy is a cross-browser JavaScript range and selection library."
"rte",""
"listen",""
"multipage",""
"php-ini","PHP.ini is very useful and it is a configuration file that is used to customize behavior of PHP at runtime - http://php.net/configuration.file."
"facebook-credits","Facebook Credits are a virtual currency which can be used to purchase virtual goods. The Facebook Credits API enables a user to use credits as a method for purchasing digital and virtual goods within a Facebook canvas application."
"function-prototypes","Anything related to C and C++ function prototypes. Function prototypes are a way to describe the interface of a function to the client code."
"visual-studio-2010-beta-2",""
"kannel","Kannel is an opensource WAP and SMS gateway for two-way SMS and WAP message sending."
"quota","A quota is a limited quantity of things, such as storage, bandwidth, etc."
"states",""
"fql.multiquery",""
"parameterized-query","A pre-compiled and optimized SQL statement that can be executed multiple times by changing certain constant values during each execution. Often used to prevent SQL injection.

 "
"outlook-2003","Outlook 2003 is Microsoft's personal information management software."
"cherry-pick","In source control management, the act of selectively pulling single changes from peer to peer is called ""cherry-pick""."
"author",""
"ussd","Unstructured Supplementary Service Data is a communication protocol used in GSM"
"xvfb","Xvfb; X virtual framebuffer, is an X11 server that can run graphic applications without a physical screen."
"instruction-set","Specification for machine-readable instructions processed on different processing cores. Different processor architectures usually have unique instruction sets."
"license-key",""
"calculus","Calculus is the study of change of one or more variables with respect to another variable. Calculus has two main operators: differentiation and integration. Differentiation can be used to study the change of one variable with respect to another. Integration can be used to find the area bounded by a function."
"windows-scripting",""
"system.net","System.Net is a namespace of the .NET framework. It provides a simple programming interface for many of the protocols used on networks today."
"arbitrary-precision","All questions concerning numbers which support extremely high precision: Libraries in programming languages (GMP, MPFR), support of arbitrary precision in computer algebra systems (CAS, Mathematica, Maple, Mathlab) and how to correctly use and calculate numbers with very high precision and accuracy."
"fasta","FASTA is a software package for sequence alignment of proteins and nucleic acids. FASTA is also the name of the file format used by these programs to represent sequences of peptides or nucleotides. The format is a de facto standard in bioinformatics."
"owasp","The Open Web Application Security Project (OWASP) is an organization that wants to inform people about application security. Website at http://owasp.org. "
"method-overriding","Method overriding, in object oriented programming, is a language feature that allows a subclass or child class to provide a specific implementation of a method that is already provided by one of its superclasses or parent classes."
"selectionchanged",""
"flashlight",""
"ollydbg","OllyDbg is a Ring3, Win32 debugger."
"contents",""
"data-recovery",""
"profiles",""
"nested-routes",""
"uncaught-exception","UncaughtException is thrown when exception is not handled by try/catch block. UncaughtException wraps the original exception that has been occurred."
"amazon-route53","Amazon Route 53 is a highly available and scalable Domain Name System (DNS) web service. It is designed to give developers and businesses an extremely reliable and cost effective way to route end users to Internet applications by translating human readable names like www.example.com into the numeric IP addresses like 192.0.2.1 that computers use to connect to each other."
"name-mangling","Name-mangling is a technique used by compilers (mainly C++ compilers) to encode information in strings that can be supported by linkers designed to handle C code."
"trial",""
"beanstalkd","Beanstalk is a simple, fast work queue."
"static-cast","A C++ cast operator to convert from one type to another, using only information about the static type of the object being cast"
"cfnetwork","Network framework in the core services for iOS & Mac OS X"
"globals",""
"htpasswd","htpasswd is a command line program of the Apache HTTP server. It is used to create and update the flat-files used to store usernames and password for basic authentication of HTTP users."
"icomparable","Defines a generalized comparison method that a value type or class implements to create a type-specific comparison method for ordering instances."
"file-not-found","An error, exit status, or exception that indicates that the file denoted by a specified pathname could not be found."
"looper",""
"virtualtreeview","Virtual Treeview is free Delphi component written by Mike Lischke."
"inconsistency",""
"sibling","The term ""sibling"" refers to a kind of relationship between two items in a tree structure.  Two items have the sibling relationship if they both have the same parent."
"html5-history","The HTML5 History API allows programmatic manipulation of the browser's history through JavaScript, providing a method of managing the user's history stack when creating web applications."
"google-tag-manager","Google Tag Manager is a free Tag Manager solution. It gives marketers greater flexibility, and it lets webmasters relax and focus on other important tasks. Here are a few answers and resources to help you get to know us better."
"quit",""
"directx-10","DirectX 10 is the 10th version of Microsoft's DirectX API, which is used to develop and handle tasks related to Multimedia, such as game programming, 3D visualizations and video on Microsoft platforms."
"eigenvalue","The eigenvalue is the factor by which the eigenvector is scaled when multiplied by the matrix."
"django-comments","Django includes a simple comments framework. It can be used to attach comments to any model, so you can use it for comments on blog entries, photos, book chapters, or anything else."
"google-cse","With Google Custom Search, users can add a search box to their homepage to help people find what they need on the website.

* https://developers.google.com/custom-search/
* http://www.google.com/cse/"
"rampart","Apache Rampart - Axis2 Security Module"
"kohana-3.2",""
"audioqueueservices","Audio Queue Services provides a straightforward, low overhead way to record and play audio in OS X. Starting with OS X v10.5, it is the recommended technology to use for adding basic recording or playback features to your Mac app."
"ab-testing","A/B testing, split testing, or bucket testing is a controlled comparison of the effectiveness of variants of a website, email, or other commercial product. "
"string-split",""
"uniq","uniq is a Unix/POSIX/Linux utility to remove or filter duplicate lines from a sorted file. It is also the name of a method to remove duplicates from an array in Ruby."
"msiexec","Msiexec.exe is the Microsoft Windows Installer tool"
"icecast","Icecast is a streaming media project released as free software maintained by the Xiph.org Foundation. It also refers specifically to the server program which is part of the project. Live audio streams are commonly streamed using either icecast or SHOUTcast servers. "
"cross-validation","Cross-Validation is a method of evaluating and comparing predictive systems in statistics and machine learning."
"dataform",""
"android-actionbar-compat","Android Support Library component that provides an ActionBar for applications built for Android 2.1 (API level 7) and higher."
"unchecked","An option ""unchecked"" used to turn off a javac compiler warnings about failing to use generics because it does not have enough type information to perform all type checks necessary to ensure type safety."
"gist","Gist is a simple way to share snippets and pastes with others. (Provided by Github.)"
"nas","NAS or Network-attached Storage is file-level computer data storage connected to a computer network providing data access to clients. It mailny operates as a file server and is specialized for this by its hardware, software or mix of those. Most NASes offers many accessing algorithms (like Samba, FTP, SSH and many more) and can host a website, stream multimedia and do many more tasks."
"alloc",""
"commandbinding","Binds a RoutedCommand to the event handlers that implement the command."
"matrix-inverse",""
"matlab-compiler","MATLAB Compiler™ lets you share your MATLAB® application as an executable or a shared library.  Consider also the tag matlab-deployment."
"sagepay","SagePay is a UK-based Payment Service Provider for online and offline (MOTO) transactions. SagePay was previously known as Protx and offers online handling of payments - they support functionality for kiosk in customer retail stores and also support PayPal integration. They are PCI compliant."
"laravel-4.1","Questions based on Laravel 4.1 version installations."
